id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29424522,1-bed/ba  PR condo Wyn.  Midtown 45 Thanksgiving,30616847,Martha,Manhattan,Midtown,40.75322,-73.97353000000001,Private room,500,3,0,,,1,365
30193034,*NO GUEST SERVICE FEE* Beekman Tower Studio Suite  #12,205031545,Red Awning,Manhattan,Midtown,40.754,-73.96531,Entire home/apt,675,28,6,2019-04-25,0.95,49,253
576227,Bright and Spacious Manhattan,2834840,Sheri,Manhattan,Harlem,40.82446,-73.95274,Private room,700,28,4,2016-10-03,0.05,1,22
35189052,Beautiful Brooklyn Brownstone next to Park,26620387,Louise,Brooklyn,Park Slope,40.66737,-73.9747,Entire home/apt,945,4,0,,,1,19
9132731,"2800 SQ FT Loft for Off-Sites, Events, & Shoots",6674503,Evelyn,Brooklyn,Clinton Hill,40.68567,-73.96271999999999,Entire home/apt,750,1,6,2019-06-14,0.17,1,365
2361020,URBAN CHIC VIDEO/PHOTO SHOOTS ONLY,5535265,Krystal,Brooklyn,Bedford-Stuyvesant,40.68172,-73.93236,Entire home/apt,500,1,11,2015-10-20,0.19,1,365
21762711,Large House in Brooklyn near Express Subway,158554204,Su,Brooklyn,Bedford-Stuyvesant,40.67917,-73.93103,Entire home/apt,700,1,7,2019-06-01,0.42,1,303
1567225,"NYC LARGE 3 BR West Side Manhattan, New York City",8336526,Matthew,Manhattan,Upper West Side,40.78024,-73.97941999999999,Entire home/apt,550,4,17,2019-04-29,0.27,1,201
1147507,RUSTIC/MODERN/EV/NYC,5523186,Mark,Manhattan,East Village,40.73032,-73.98469,Entire home/apt,750,3,9,2018-08-30,0.18,2,364
30193428,*NO GUEST SERVICE FEE* Beekman Tower One Bedroom Suite  #9,205031545,Red Awning,Manhattan,Midtown,40.75271,-73.96638,Entire home/apt,714,28,0,,,49,257
15799603,Noisy room next to Prospect Park,391488,Thalith,Brooklyn,Prospect-Lefferts Gardens,40.65762,-73.96129,Private room,500,1,0,,,1,89
31014208,Bright & Airy East Village Penthouse w/ Terrace,8525142,Molly,Manhattan,East Village,40.72391,-73.97698000000001,Entire home/apt,520,3,7,2019-06-30,1.14,1,80
34866682,New 9 Bed 4 Full Bath 3000 SF Spacious Apartment,262657892,Philip,Brooklyn,Crown Heights,40.66678,-73.93035,Entire home/apt,830,3,0,,,3,213
11933676,Soho PH 2 Bedroom Private Terrace,63702305,Caroline,Manhattan,SoHo,40.72289,-73.9974,Entire home/apt,500,4,72,2019-07-01,1.8,1,330
4909080,2 Stops to MANHATTAN!,25276263,Charles,Brooklyn,Boerum Hill,40.6881,-73.98699,Entire home/apt,500,6,29,2016-09-02,0.53,1,89
22192877,Upper West Side Home for the Holidays,22866437,Eliana,Manhattan,Upper West Side,40.77838,-73.97851,Entire home/apt,600,3,0,,,2,0
29923618,Modern 3 Bedroom with Private Backyard,224987632,Daisy,Manhattan,Lower East Side,40.71992,-73.98472,Entire home/apt,550,3,50,2019-07-07,6.67,1,199
33741545,Astoria Apt,58024325,Nate,Queens,Astoria,40.76001,-73.92313,Private room,700,1,1,2019-05-06,0.47,1,125
35570674,Quiet Apartment for Large Groups,49658508,Kate,Manhattan,Kips Bay,40.74244,-73.97872,Entire home/apt,600,2,1,2019-07-02,1.0,1,226
25462356,New Clean Comfortable Studio w/Terrace,154629753,Andrew,Manhattan,Hell's Kitchen,40.76746,-73.98942,Entire home/apt,500,10,41,2019-06-21,3.17,1,126
27237625,*NO GUEST SERVICE FEE* Luxury Midtown One Bedroom Suite with Kitchen,205031545,Red Awning,Manhattan,Midtown,40.75459,-73.96706999999999,Entire home/apt,737,3,3,2019-06-10,0.44,49,153
30193485,*NO GUEST SERVICE FEE* Beekman Tower One Bedroom Suite  #6,205031545,Red Awning,Manhattan,Midtown,40.75459,-73.96566,Entire home/apt,714,28,0,,,49,257
8847577,Beautiful Brooklyn Brownstone,21052756,Odette,Brooklyn,Cobble Hill,40.68561,-73.99571999999999,Entire home/apt,1000,5,1,2016-01-03,0.02,1,0
30956885,Entire Loft Apartment in Soho/NoHo/Nolita,96049478,Lida,Manhattan,NoHo,40.726040000000005,-73.99342,Entire home/apt,550,7,4,2019-05-13,1.38,1,14
27237610,*NO GUEST SERVICE FEE* Great Location! Luxury Midtown Studio with Kitchen,205031545,Red Awning,Manhattan,Midtown,40.75231,-73.96706999999999,Entire home/apt,699,3,7,2019-05-31,1.27,49,176
29061711,"In the heart of Hell’s Kitchen , Time Sqare.",76114530,Neetu,Manhattan,Hell's Kitchen,40.76177,-73.99426,Entire home/apt,575,6,0,,,1,83
16634357,Huge 2 Bed Apt with Private Bathrooms in UES!,109886922,Michael,Manhattan,Upper East Side,40.77486,-73.95296,Entire home/apt,899,30,6,2018-05-18,0.23,1,89
22544810,Williamsburg stunning duplex apartment 4br/3bath,10951481,Ann,Brooklyn,Williamsburg,40.712990000000005,-73.96144,Entire home/apt,550,2,92,2019-06-23,5.24,5,90
13113626,Fantastic Midtown Apartment!-2b,46648109,Bridgestreet Corporate,Manhattan,Midtown,40.75722,-73.97842,Entire home/apt,559,30,2,2018-10-20,0.17,1,0
7174695,"Lux, UES,  3Beds, Family Apt",36903246,Dana,Manhattan,Upper East Side,40.776140000000005,-73.95036999999999,Entire home/apt,700,1,1,2015-09-05,0.02,1,0
26385422,NY HILTON CLUB 2 BR SUITE Luxury Holidays 2019,58071546,Mary,Manhattan,Midtown,40.76151,-73.97894000000001,Entire home/apt,599,2,3,2019-01-03,0.24,1,0
5049823,NYC New Years Penthouse suite,22927481,Howard,Manhattan,Midtown,40.7655,-73.98018,Private room,500,3,1,2015-11-11,0.02,3,0
2082694,Brand New 3BR Apartment,10638711,Corey,Brooklyn,Williamsburg,40.70958,-73.94287,Entire home/apt,700,3,1,2014-01-02,0.01,1,0
20452409,2 BR Presidential for FAMILY Vacation ★ EPIC VIEWS,64065593,ResortShare5,Manhattan,Midtown,40.751740000000005,-73.97213,Entire home/apt,672,2,3,2018-07-27,0.23,13,266
29631765,Modern and Spacious Brooklyn Duplex,17031708,Hannah,Brooklyn,Williamsburg,40.71301,-73.94846,Private room,500,3,1,2018-12-05,0.14,1,180
35132016,Luxury 3BR in Upper West Side with swimming pool,60136891,Bo Hee,Manhattan,Upper West Side,40.78578,-73.97678,Entire home/apt,590,7,0,,,1,38
20621413,2-Bedroom Presidential 1 - Wyndham Midtown 45,145801588,Aaron,Manhattan,Midtown,40.75371,-73.97225999999999,Entire home/apt,699,3,3,2019-04-11,0.2,4,324
30142833,Brand New Modern Apt in Fi-Di Manhattan New York,61116037,Jackie,Manhattan,Financial District,40.70428,-74.00707,Entire home/apt,550,2,30,2019-06-23,3.96,1,72
33072230,Sonder | Stock Exchange | Sleek 3BR + Laundry,219517861,Sonder (NYC),Manhattan,Financial District,40.70645,-74.01186,Entire home/apt,520,2,6,2019-06-16,2.43,327,262
738588,"Wedding guests accommodations, 3-7 bedrooms",1360198,Marina,Staten Island,Arrochar,40.59193,-74.06475999999999,Entire home/apt,625,4,1,2015-11-01,0.02,4,335
7950368,Williamsburg Bedford Ave L Train,1696218,David,Brooklyn,Williamsburg,40.7187,-73.95606,Entire home/apt,500,26,9,2018-02-25,0.19,1,178
256328,Luxury Chelsea Townhouse at the High Line,1347034,Janine,Manhattan,Chelsea,40.74599,-74.00253000000001,Entire home/apt,760,2,7,2019-06-22,0.08,1,361
30193147,*NO GUEST SERVICE FEE* Beekman Tower Studio Suite  #2,205031545,Red Awning,Manhattan,Midtown,40.75408,-73.96568,Entire home/apt,675,28,0,,,49,254
2151259,Superbowl Studio Upper West Side,10263977,A,Manhattan,Upper West Side,40.79752,-73.96298,Entire home/apt,750,3,0,,,1,0
30019462,Beautiful Times Square Apt. Heart of Manhattan!,219848970,Javier,Manhattan,Hell's Kitchen,40.76203,-73.99353,Entire home/apt,600,3,0,,,2,17
27237563,*NO GUEST SERVICE FEE* Studio Suite w/ Convenient Midtown Location,205031545,Red Awning,Manhattan,Midtown,40.75402,-73.9651,Entire home/apt,699,3,19,2019-06-11,2.45,49,204
28426648,Minimalist Loft  Luxury in Soho,214416012,James,Manhattan,SoHo,40.72345,-73.99943,Entire home/apt,800,2,36,2019-07-01,3.88,1,90
31052910,GORGEOUS PRIME SOHO 3 BEDROOMS PENTHOUSE,163035332,Pirin,Manhattan,SoHo,40.72267,-74.00334000000001,Entire home/apt,649,2,17,2019-07-01,2.59,3,281
8292864,Charming East Village Apartment,19194060,Ryan,Manhattan,East Village,40.7241,-73.97991999999999,Entire home/apt,600,3,0,,,1,0
4623622,Victorian with Stunning Views of NYC Harbor,22506665,William,Staten Island,St. George,40.64571,-74.07835,Entire home/apt,1000,1,0,,,1,364
35569456,"2 BR Modern Apt, Extra Lofted Bed, BK Heights",267621090,Shameika,Brooklyn,Brooklyn Heights,40.69934,-73.99635,Entire home/apt,600,3,4,2019-07-06,4.0,1,323
2210088,SUPER BOWL 2014 in TRENDY CHELSEA!,11273539,Julia,Manhattan,Chelsea,40.74798,-74.00314,Entire home/apt,900,1,0,,,1,0
15205915,2BdrmPRESIDENTIAL Luxury CONDO In the Heart of NYC,96098402,Wynpoints,Manhattan,Midtown,40.7521,-73.972,Private room,799,4,3,2017-01-13,0.09,12,365
34177117,Sonder | The Biltmore | 1BR,219517861,Sonder (NYC),Manhattan,Theater District,40.76118,-73.98635,Entire home/apt,699,29,0,,,327,365
28536172,NYC Townhouse & Private Roof Deck,189336520,Martha,Manhattan,Upper East Side,40.77141,-73.95658,Entire home/apt,1000,4,16,2019-06-15,1.97,1,66
35962803,Best Looking Townhouse in Brooklyn-GQ Magazine,5099333,Robert,Brooklyn,Fort Greene,40.68893,-73.97015999999999,Entire home/apt,800,3,0,,,1,37
31389656,NYC LUXURY3 BEDROOMS IN MIDTOWN EAST& GYM& BALCONY,170372974,Inbal,Manhattan,Murray Hill,40.74579,-73.9726,Entire home/apt,599,4,11,2019-06-30,2.23,1,140
6209994,4500 SQ FT Quiet Brooklyn Loft for Shoots & Events,319077,Shell,Brooklyn,Clinton Hill,40.68556,-73.96238000000001,Entire home/apt,750,1,15,2019-05-19,0.34,4,364
15260962,Luxury 2BR Penthouse in the hearth of Soho (Nyc),26830685,Gaia&Pietro,Manhattan,SoHo,40.72575,-74.00128000000001,Entire home/apt,850,3,32,2019-06-24,1.04,1,262
31884652,Heart of Time Square w/ Spectacular View  3BR 2BA,235774051,Satoh,Manhattan,Theater District,40.759170000000005,-73.98246,Entire home/apt,519,2,10,2019-06-26,1.86,1,165
18737594,Brownstone in Clinton Hill Brooklyn,45763784,Julio,Brooklyn,Clinton Hill,40.68499,-73.96524000000001,Entire home/apt,825,3,2,2018-09-28,0.19,2,44
32463707,Not too late! Great place in Chelsea,58483,Deni,Manhattan,West Village,40.73988,-74.00356,Entire home/apt,500,2,0,,,1,0
30253236,SedaOn2 Dance Studio,140862407,Angelie,Bronx,Westchester Square,40.84378,-73.84469,Entire home/apt,670,1,2,2019-03-31,0.34,1,178
21684804,Charming duplex in east village with a balcony,12080664,Josephine,Manhattan,East Village,40.732,-73.98706,Entire home/apt,500,6,0,,,1,0
5146173,*Designer West Village Dream Home*,26606802,Christina,Manhattan,West Village,40.73451,-74.00746,Entire home/apt,510,3,12,2016-10-23,0.24,1,364
18506292,Ultra Lux Central Park/ Columbus Circle 2 bedroom,10605984,Gab,Manhattan,Upper West Side,40.76798,-73.98356,Entire home/apt,615,5,46,2019-06-18,1.78,1,282
30193036,*NO GUEST SERVICE FEE* Beekman Tower Studio Suite  #11,205031545,Red Awning,Manhattan,Midtown,40.75404,-73.9671,Entire home/apt,675,28,0,,,49,241
27237583,*NO GUEST SERVICE FEE* Beekman Tower Premium One Bedroom Suite,205031545,Red Awning,Manhattan,Midtown,40.75402,-73.96566999999999,Entire home/apt,737,3,1,2019-02-18,0.21,49,222
10574909,Grand Loft in Prime Williamsburg,1802807,Lily,Brooklyn,Williamsburg,40.71412,-73.95895,Entire home/apt,600,30,7,2019-05-17,0.17,2,67
14483469,Sun Soaked 3-Bedroom w/ private roof deck,19928013,Blake,Manhattan,Greenwich Village,40.73389,-73.99335,Entire home/apt,800,1,0,,,1,0
2447298,Soho loft with everything,5165749,Ben,Manhattan,SoHo,40.72512,-74.00024,Entire home/apt,650,5,0,,,2,83
32238730,Sonder | Stock Exchange | Original 3BR + Lounge,219517861,Sonder (NYC),Manhattan,Financial District,40.70785,-74.01239,Entire home/apt,505,2,7,2019-06-14,1.79,327,275
22139766,Luxurious Brooklyn Heights Duplex with Terrasse,88801066,Crina,Brooklyn,Brooklyn Heights,40.6936,-73.9935,Entire home/apt,647,5,4,2019-04-20,0.25,1,166
3270809,Artist Loft in Lower East Side with Roof,14289427,Francesca,Manhattan,Chinatown,40.71613,-73.99266,Entire home/apt,500,4,6,2018-12-12,0.18,3,341
30464266,Beautiful Loft in the Heart of Nolita,14413778,Allegra,Manhattan,Nolita,40.7233,-73.99463,Entire home/apt,800,3,0,,,2,0
1803165,Huuuge Sunny Central Park REAL 2 bedroom 1.5 baths,9453400,Lo,Manhattan,Midtown,40.76391,-73.9782,Entire home/apt,799,6,40,2018-09-01,0.58,1,365
10089727,"St Regis Hotel, NYC Luxury Hotel Rooms by Owners",51772392,Mark,Manhattan,Midtown,40.76039,-73.9736,Private room,587,1,3,2018-10-03,0.16,1,365
27237604,*NO GUEST SERVICE FEE* Luxury Midtown One Bedroom Suite with Kitchen,205031545,Red Awning,Manhattan,Midtown,40.75294,-73.96731,Entire home/apt,737,3,2,2019-06-07,0.4,49,235
28654606,Warm Duplex Townhouse,191849342,Joseph,Brooklyn,Crown Heights,40.67177,-73.95334,Entire home/apt,500,4,9,2019-06-22,1.32,1,247
35229657,Center of NYC*Dream in your dream Apt*6beds,135223584,Lina & Josh,Manhattan,Hell's Kitchen,40.75654,-73.99425,Entire home/apt,920,1,0,,,1,180
32561334,94TH STREET BIGGEST 1BR SUITE WITH DOORMAN-GYM,123745971,Especial,Manhattan,Upper East Side,40.78216,-73.94841,Private room,540,2,0,,,6,351
12496037,1/2 block to Central Park - W 84th Street,23870466,Susan,Manhattan,Upper West Side,40.78475,-73.9717,Entire home/apt,650,30,3,2018-10-15,0.09,1,137
9263457,1 bed/bath w/ Cali King bed- duplex,30637963,Deena,Manhattan,Upper West Side,40.79355,-73.96641,Private room,800,5,0,,,1,0
21963398,4BR 2 Bath Williamsburg Apt with Private Roof,11310081,Chandler,Brooklyn,Williamsburg,40.71204,-73.95245,Entire home/apt,650,2,1,2019-01-01,0.16,1,0
7816449,Dreamlike Soho loft and rooftop,1317360,John,Manhattan,SoHo,40.722190000000005,-74.0014,Entire home/apt,500,7,44,2017-09-25,0.94,2,365
19114014,"Large, Private Carriage House in West Village",683230,Thomas,Manhattan,West Village,40.73444,-73.99967,Private room,950,3,36,2019-07-01,1.45,3,237
35075812,Private Room in 2BD near Grand Central,52319188,Nick,Manhattan,Murray Hill,40.7472,-73.97278,Private room,500,2,0,,,1,43
7192809,Luxury 2200sf Two Bedroom Loft w/ Private Elevator,37668524,Brian,Manhattan,Chelsea,40.73888,-73.99897,Entire home/apt,500,3,11,2016-11-26,0.23,1,2
60164,"Beautiful, elegant 3 bed SOHO loft",289653,Harrison,Manhattan,SoHo,40.72003,-74.00262,Entire home/apt,500,4,94,2019-06-23,0.99,1,329
33513897,Coming soon: stunning Upper West Side apartment,252545388,Joseph,Manhattan,Upper West Side,40.77112,-73.98964000000001,Entire home/apt,1000,31,0,,,1,103
27551807,The St Marks: A large 7 bedroom 15 mins to Manhtan,5589082,Jenn & JJ,Brooklyn,Crown Heights,40.67578,-73.94159,Entire home/apt,689,2,18,2019-05-23,1.61,1,340
2185842,1BR Superbowl rental Hells Kitchen,6910298,Anna,Manhattan,Hell's Kitchen,40.76,-73.99009000000001,Entire home/apt,850,1,0,,,1,0
35515733,"Family-Friendly 3BR Luxury in Tribeca, (1900 sqft)",2116342,David,Manhattan,Civic Center,40.71625,-74.00316,Entire home/apt,950,3,0,,,1,69
2003807,UWS MANHATTAN APT FOR SUPERBOWL WE,10317189,Edouard,Manhattan,Upper West Side,40.79321,-73.9694,Entire home/apt,1000,1,0,,,1,0
34036047,Harlem Time Capsule,256998898,Hank,Manhattan,Harlem,40.80483,-73.95553000000001,Entire home/apt,550,1,0,,,3,365
21649171,Spacious 3-Bedroom Bushwick Duplex,77904836,Yvette,Brooklyn,Bushwick,40.69168,-73.91453,Entire home/apt,500,5,1,2018-01-01,0.05,1,0
7048418,3BR/1 Ba in TriBeCa w/ outdoor deck,36962150,Nick,Manhattan,Tribeca,40.71845,-74.01183,Entire home/apt,500,1,0,,,1,0
30193154,*NO GUEST SERVICE FEE* Beekman Tower Studio Suite  #9,205031545,Red Awning,Manhattan,Midtown,40.75439,-73.96647,Entire home/apt,675,28,4,2019-05-26,0.63,49,253
7310835,SoHo 2 Bedroom 2 Full Bath with Private Terrace,3390947,Yulia,Manhattan,SoHo,40.72268,-74.00269,Entire home/apt,650,2,24,2019-06-29,0.51,1,23
12954498,LOFT in Chelsea,1413546,Asher,Manhattan,Chelsea,40.7453,-73.99333,Entire home/apt,700,30,1,2016-08-07,0.03,2,236
5116726,Stunning townhouse in Park Slope,7203997,Gosia,Brooklyn,Park Slope,40.67034,-73.97511999999999,Entire home/apt,995,2,43,2019-06-13,0.82,2,328
32089161,Newly rennovated studio space in UWS,25115746,Stephanie,Manhattan,Upper West Side,40.78757,-73.97624,Shared room,500,1,0,,,1,89
29281407,THE HIVE // Brand New 3-Story Luxury Townhome,4874700,Eli,Brooklyn,Greenpoint,40.72549,-73.94595,Entire home/apt,975,2,0,,,1,149
8924038,Huge Unique Two Story E.Vill Oasis,46665505,Cj,Manhattan,East Village,40.721790000000006,-73.97951,Entire home/apt,500,2,0,,,1,0
34644063,Luxurious Smart Home in Gramercy Park,55560532,Maxim,Manhattan,Gramercy,40.73825,-73.98184,Entire home/apt,690,2,0,,,1,66
7024342,"Custom Designed Cozy Garden Apt,",36579485,Jean&  Toney,Brooklyn,Canarsie,40.64574,-73.90781,Entire home/apt,600,7,0,,,3,365
16268350,Cozy Bedstuy Brownstone,104626152,Nikki,Brooklyn,Bedford-Stuyvesant,40.68893,-73.95354,Entire home/apt,525,2,1,2016-12-07,0.03,4,189
27237510,"*NO GUEST SERVICE FEE* Studio Suite w/ Queen Bed, Close to 51st St Subway",205031545,Red Awning,Manhattan,Midtown,40.75299,-73.96659,Entire home/apt,699,3,8,2019-05-19,1.21,49,204
16437326,1 Bedroom Condo/Kitchen Wyndham Midtown 45 Resort*,69545883,Chayla,Manhattan,Midtown,40.75183,-73.97336999999999,Private room,599,3,0,,,12,365
11257690,Luxury 2200ft² 4Bed in East Village,29182025,Jonty,Manhattan,Gramercy,40.73268,-73.98550999999999,Entire home/apt,700,5,87,2019-06-22,2.12,1,266
22193650,Gramercy Getaway,83637,Liana,Manhattan,Gramercy,40.738040000000005,-73.98503000000001,Entire home/apt,500,28,5,2018-04-08,0.27,1,173
6165564,Large room in newly renovated apt,30906910,Yuriy,Brooklyn,Bedford-Stuyvesant,40.6874,-73.94339000000001,Private room,750,1,0,,,1,0
2150328,"SUPERBOWL!! 2 Bd, 2 Ba w Roof Deck!",10974237,Abby,Manhattan,East Village,40.72767,-73.98825,Entire home/apt,850,1,0,,,1,0
2186138,Superbowl - NYC Apartment,11147328,Ankur,Manhattan,Midtown,40.75764,-73.96826999999999,Entire home/apt,950,1,0,,,1,0
2017012,W Village Luxury Apt. (Super Bowl),10373126,Sirous,Manhattan,West Village,40.73967,-74.00933,Entire home/apt,850,3,0,,,1,0
24554027,"Sunlit Room in Prospect Heights, Brooklyn",24587292,Rania,Brooklyn,Crown Heights,40.67652,-73.96198000000001,Private room,974,7,0,,,2,0
19963733,"Prewar duplex, 3 bedrooms, minutes from everything",93355703,Katherine,Brooklyn,Brooklyn Heights,40.69677,-73.99599,Entire home/apt,585,3,10,2019-02-18,0.42,1,225
13109326,New York City Apt. w/ Incredible View of Manhattan,72874879,James,Brooklyn,Park Slope,40.67202,-73.97131,Entire home/apt,700,7,0,,,1,0
35233998,"Spacious & Bright 3BRs Near Subways, Parks, Shops",146858939,Angela,Brooklyn,Cobble Hill,40.69041,-73.99776999999999,Entire home/apt,599,1,2,2019-06-16,2.0,1,39
13025960,Bright & Cozy Furnitured 4 Sublet,71948176,Cristian,Brooklyn,Bedford-Stuyvesant,40.68917,-73.95528,Private room,1000,1,0,,,1,0
35198287,Light-filled Williamsburg Loft,24643940,Lucy,Brooklyn,Williamsburg,40.70726,-73.96656999999999,Entire home/apt,550,2,2,2019-07-05,2.0,1,81
32235802,Stable Room at Incentra Village Hotel,241889662,Incentra,Manhattan,West Village,40.73742,-74.00484,Private room,999,1,1,2019-04-24,0.39,5,310
6558125,Amazing apartment with great views,28305098,Bishal,Manhattan,Chelsea,40.745740000000005,-73.99226,Entire home/apt,900,3,13,2016-01-20,0.26,1,24
27237549,*NO GUEST SERVICE FEE* Luxury Studio Suite in Excellent Midtown Location,205031545,Red Awning,Manhattan,Midtown,40.75442,-73.96696,Entire home/apt,699,3,8,2019-06-16,1.18,49,204
20604857,Empire St View Luxury 3BR 2BA Penthouse BalconyGym,40042311,Antonya,Manhattan,Murray Hill,40.74699,-73.9777,Entire home/apt,799,5,1,2018-07-28,0.09,1,359
16098020,1 Bdrm PRESIDENTIAL RESERVE at Wyndham Midtown 45,69545883,Chayla,Manhattan,Midtown,40.75162,-73.9732,Private room,649,3,1,2016-12-09,0.03,12,365
34813344,AWESOME LOCATION!! NEWLY REMODELED APARTMENT!!,262434396,Angeline,Brooklyn,Williamsburg,40.71597,-73.96106999999999,Entire home/apt,650,3,1,2019-06-17,1.0,1,352
14683983,RATED ★★★★★ IN THIS 2 BEDROOM PRESIDENTIAL SUITE,64065593,ResortShare5,Manhattan,Midtown,40.75294,-73.9733,Entire home/apt,672,2,23,2019-05-15,0.87,13,268
15206157,1Bdrm DELUXE Fully Renovated CONDO Wyndham Midtown,96098402,Wynpoints,Manhattan,Midtown,40.75331,-73.9733,Private room,599,3,8,2017-01-01,0.24,12,365
4854552,Apartment Downtown New York ,24973819,Wen,Manhattan,Stuyvesant Town,40.73001,-73.97579,Private room,600,1,0,,,1,0
6939638,Heart of Tribeca next to everything,36307255,Josh,Manhattan,Tribeca,40.715,-74.0094,Entire home/apt,700,1,8,2016-01-03,0.16,1,0
